kode_pum,kode_bps,nama
12.05.16,1213190,Besitang
12.05.15,1213200,Pangkalan Susu
12.05.23,1213201,Pematang Jaya
12.14.04,1214010,Hibala
12.14.31,1214011,Tanah Masa
12.14.05,1214020,Pulau-pulau Batu
12.14.16,1214021,Pulau-pulau Batu Timur
12.14.28,1214022,Simuk
12.14.29,1214023,Pulau-pulau Batu Barat
12.14.30,1214024,Pulau-pulau Batu Utara
12.14.06,1214030,Teluk Dalam
12.14.18,1214031,Fanayama
12.14.12,1214032,Toma
12.14.10,1214033,Maniamolo
12.14.13,1214034,Mazino
12.14.32,1214035,Luahagundre Maniamolo
12.14.33,1214036,Onolalu
12.14.07,1214040,Amandraya
12.14.15,1214041,Aramo
12.14.24,1214042,Ulususua
12.14.03,1214050,Lahusa
12.14.25,1214051,Sidua'ori
12.14.26,1214052,Somambawa
12.14.02,1214060,Gomo
12.14.09,1214061,Susua
12.14.17,1214062,Mazo
12.14.14,1214063,Umbunasi
12.14.35,1214064,Idanotae
12.14.34,1214065,Ulu Idanotae
12.14.27,1214066,Boronadu
12.14.01,1214070,Lolomatua
12.14.19,1214071,Ulunoyo
12.14.20,1214072,Huruna
12.14.08,1214080,Lolowau
12.14.11,1214081,Hilimegai
12.14.21,1214082,O'o'u
12.14.22,1214083,Onohazumba
12.14.23,1214084,Hilisalawa'ahe
12.16.09,1215010,Pakkat
12.16.08,1215020,Onan Ganjang
12.16.07,1215030,Sijamapolang
12.16.06,1215040,Dolok Sanggul
12.16.05,1215050,Lintong Nihuta
12.16.04,1215060,Paranginan
12.16.03,1215070,Baktiraja
12.16.02,1215080,Pollung
12.16.01,1215090,Parlilitan
12.16.10,1215100,Tarabintang
12.15.03,1216010,Salak
12.15.01,1216011,Sitelu Tali Urang Jehe
12.15.06,1216012,Pagindar
12.15.04,1216013,Sitelu Tali Urang Julu
12.15.05,1216014,Pergetteng Getteng Sengkut
12.15.02,1216020,Kerajaan
12.15.07,1216021,Tinada
12.15.08,1216022,Siempat Rube
12.17.06,1217010,Sianjar Mula Mula
12.17.05,1217020,Harian
12.17.09,1217030,Sitio-tio
12.17.02,1217040,Onan Runggu
12.17.03,1217050,Nainggolan
12.17.04,1217060,Palipi
12.17.07,1217070,Ronggur Nihuta
12.17.08,1217080,Pangururan
12.17.01,1217090,Simanindo
12.18.10,1218010,Kotarih
12.18.11,1218011,Silinda
12.18.17,1218012,Bintang Bayu
12.18.09,1218020,Dolok Masihul
12.18.12,1218021,Serba Jadi
12.18.08,1218030,Sipispis
12.18.07,1218040,Dolok Merawan
12.18.13,1218050,Tebing Tinggi
12.18.16,1218051,Tebing Syahbandar
12.18.06,1218060,Bandar Khalipah
12.18.05,1218070,Tanjung Beringin
12.18.04,1218080,Sei Rampah
12.18.15,1218081,Sei Bamban
12.18.03,1218090,Teluk Mengkudu
12.18.02,1218100,Perbaungan
12.18.14,1218101,Pegajahan
12.18.01,1218110,Pantai Cermin
12.19.07,1219010,Sei Balai
12.19.06,1219020,Tanjung Tiram
12.19.12,1219021,Nibung Hangus
12.19.05,1219030,Talawi
12.19.11,1219031,Datuk Tanah Datar
12.19.04,1219040,Lima Puluh
12.19.09,1219041,Lima Puluh Pesisir
12.19.10,1219042,Datuk Lima Puluh
12.19.03,1219050,Air Putih
12.19.02,1219060,Sei Suka
12.19.08,1219061,Laut Tador
12.19.01,1219070,Medang Deras
12.20.07,1220010,Batang Onang
12.20.05,1220020,Padang Bolak Julu
12.20.06,1220030,Portibi
12.20.04,1220040,Padang Bolak
12.20.10,1220041,Padang Bolak Tenggara
12.20.08,1220050,Simangambat
12.20.12,1220051,Ujung Batu
12.20.03,1220060,Halongonan
12.20.11,1220061,Halongonan Timur
12.20.02,1220070,Dolok
12.20.01,1220080,Dolok Sigompulon
12.20.09,1220090,Hulu Sihapas
12.21.01,1221010,Sosopan
12.21.06,1221020,Ulu Barumun
12.21.07,1221030,Barumun
12.21.10,1221031,Barumun Selatan
12.21.13,1221032,Barumun Baru
12.21.04,1221040,Lubuk Barumun
12.21.08,1221050,Sosa
12.21.14,1221051,Ulu Sosa
12.21.15,1221052,Sosa Julu
12.21.09,1221060,Batang Lubu Sutam
12.21.05,1221070,Hutaraja Tinggi
12.21.17,1221071,Sosa Timur
12.21.03,1221080,Huristak
12.21.02,1221090,Barumun Tengah
12.21.11,1221091,Aek Nabara Barumun
12.21.12,1221092,Sihapas Barumun
12.21.16,1221093,Barumun Barat
12.22.04,1222010,Sungai Kanan
12.22.03,1222020,Torgamba
12.22.01,1222030,Kotapinang
12.22.05,1222040,Silangkitang
12.22.02,1222050,Kampung Rakyat
12.23.06,1223010,Na Ix - X
12.23.05,1223020,Marbau
12.23.04,1223030,Aek Kuo
12.23.07,1223040,Aek Natas
12.23.08,1223050,Kualuh Selatan
12.23.03,1223060,Kualuh Hilir
12.23.01,1223070,Kualuh Hulu
12.23.02,1223080,Kualuh Leidong
12.24.08,1224010,Tugala Oyo
12.24.07,1224020,Alasa
12.24.06,1224030,Alasa Talumuzoi
12.24.05,1224040,Namohalu Esiwa
