kode_pum,kode_bps,nama
11.01.01.2015,1103020023,Darul Ikhsan
11.01.01.2016,1103020024,Padang Beurahan
11.01.15.2006,1103021002,Ujong Pulo Cut
11.01.15.2003,1103021003,Ujong Pulo Rayeuk
11.01.15.2001,1103021004,Pasie Seubadeh
11.01.15.2002,1103021005,Ladang Rimba
11.01.15.2005,1103021006,Simpang
11.01.15.2004,1103021007,Sawah Tingkeum
11.01.15.2008,1103021008,Seuleukat
11.01.17.2004,1103022001,Seuneubok Alur Buloh
11.01.17.2010,1103022002,Alurduamas
11.01.17.2009,1103022003,Jambo Keupok
11.01.17.2005,1103022004,Ujong Tanoh
11.01.17.2008,1103022005,Beutong
11.01.17.2007,1103022006,Ujong Gunung Rayeuk
11.01.17.2006,1103022007,Ujong Gunong Cut
11.01.17.2002,1103022008,Rambong
11.01.17.2003,1103022009,Seuneubok Keuranji
11.01.17.2001,1103022010,Buket Gadeng
11.01.03.2015,1103030001,Pasie Lembang
11.01.03.2016,1103030002,Ujung Padang
11.01.03.2017,1103030003,Indra Damai
11.01.03.2001,1103030004,Suaq Bakung
11.01.03.2003,1103030005,Barat Daya
11.01.03.2004,1103030006,Sialang
11.01.03.2005,1103030007,Kapeh
11.01.03.2006,1103030008,Pulo Ie
11.01.03.2011,1103030009,Jua
11.01.03.2012,1103030010,Pasi Meurapat
11.01.03.2010,1103030011,Ujung
11.01.03.2009,1103030012,Gampong Luar
11.01.03.2008,1103030013,Kedai Kandang
11.01.03.2002,1103030014,Rantau Binuang
11.01.03.2013,1103030015,Ujung Pasir
11.01.03.2014,1103030016,Geulumbuk
11.01.03.2007,1103030017,Kedai Runding
11.01.14.2002,1103031001,Sapik
11.01.14.2004,1103031002,Durian Kawan
11.01.14.2003,1103031003,Alai
11.01.14.2001,1103031004,Paya Dapur
11.01.14.2007,1103031005,Pucuk Lembang
11.01.14.2006,1103031006,Lawe Buluh Didi
11.01.14.2005,1103031007,Lawe Sawah
11.01.14.2008,1103031008,Paya Laba
11.01.14.2009,1103031009,Lawe Cimanok
11.01.02.2019,1103040001,Kedai Padang
11.01.02.2018,1103040002,Pasi Kuala Ba'u
11.01.02.2017,1103040003,Suaq Geuringgeng
11.01.02.2016,1103040004,Simpang Lhee
11.01.02.2007,1103040005,Simpang Empat
11.01.02.2006,1103040006,Jambo Manyang
11.01.02.2008,1103040007,Limau Purut
11.01.02.2009,1103040008,Pulo Kambing
11.01.02.2010,1103040009,Kampung Paya
11.01.02.2011,1103040010,Krueng Batu
11.01.02.2004,1103040011,Gunong Pulo
11.01.02.2005,1103040012,Pulo Ie I
11.01.02.2002,1103040013,Krueng Batee
11.01.02.2003,1103040014,Pasi Kuala Asahan
11.01.02.2001,1103040015,Fajar Harapan
11.01.02.2012,1103040036,Krueng Kluet
11.01.02.2013,1103040039,Alur Mas
11.01.02.2014,1103040050,Kampung Tinggi
11.01.02.2015,1103040051,Ruak
11.01.02.2020,1103040052,Kotafajar
11.01.02.2021,1103040053,Gunung Pudung
11.01.10.2019,1103041001,Ujung Padang Asahan
11.01.10.2020,1103041002,Pulo Ie Ii
11.01.10.2012,1103041003,Ie Mirah
11.01.10.2014,1103041004,Ujung Padang Rasian
11.01.10.2013,1103041005,Pasie Rasian
11.01.10.2018,1103041006,Teupin Gajah
11.01.10.2017,1103041007,Gampong Baro
11.01.10.2015,1103041008,Krueng Kalee
