kode_pum,kode_bps,nama,file_logo
32.15,3215,Karawang,kab-h250px-3215.jpg
32.16,3216,Bekasi,kab-h250px-3216.jpg
32.17,3217,Bandung Barat,kab-h250px-3217.jpg
32.18,3218,Pangandaran,kab-h250px-3218.jpg
32.71,3271,Bogor,kab-h250px-3271.jpg
32.72,3272,Sukabumi,kab-h250px-3272.jpg
32.73,3273,Bandung,kab-h250px-3273.jpg
32.74,3274,Cirebon,kab-h250px-3274.jpg
32.75,3275,Bekasi,kab-h250px-3275.jpg
32.76,3276,Depok,kab-h250px-3276.jpg
32.77,3277,Cimahi,kab-h250px-3277.jpg
32.78,3278,Tasikmalaya,kab-h250px-3278.jpg
32.79,3279,Banjar,kab-h250px-3279.jpg
33.01,3301,Cilacap,kab-h250px-3301.jpg
33.02,3302,Banyumas,kab-h250px-3302.jpg
33.03,3303,Purbalingga,kab-h250px-3303.jpg
33.04,3304,Banjarnegara,kab-h250px-3304.jpg
33.05,3305,Kebumen,kab-h250px-3305.jpg
33.06,3306,Purworejo,kab-h250px-3306.jpg
33.07,3307,Wonosobo,kab-h250px-3307.jpg
33.08,3308,Magelang,kab-h250px-3308.jpg
33.09,3309,Boyolali,kab-h250px-3309.jpg
33.10,3310,Klaten,kab-h250px-3310.jpg
33.11,3311,Sukoharjo,kab-h250px-3311.jpg
33.12,3312,Wonogiri,kab-h250px-3312.jpg
33.13,3313,Karanganyar,kab-h250px-3313.jpg
33.14,3314,Sragen,kab-h250px-3314.jpg
33.15,3315,Grobogan,kab-h250px-3315.jpg
33.16,3316,Blora,kab-h250px-3316.jpg
33.17,3317,Rembang,kab-h250px-3317.jpg
33.18,3318,Pati,kab-h250px-3318.jpg
33.19,3319,Kudus,kab-h250px-3319.jpg
33.20,3320,Jepara,kab-h250px-3320.jpg
33.21,3321,Demak,kab-h250px-3321.jpg
33.22,3322,Semarang,kab-h250px-3322.jpg
33.23,3323,Temanggung,kab-h250px-3323.jpg
33.24,3324,Kendal,kab-h250px-3324.jpg
33.25,3325,Batang,kab-h250px-3325.jpg
33.26,3326,Pekalongan,kab-h250px-3326.jpg
33.27,3327,Pemalang,kab-h250px-3327.jpg
33.28,3328,Tegal,kab-h250px-3328.jpg
33.29,3329,Brebes,kab-h250px-3329.jpg
33.71,3371,Magelang,kab-h250px-3371.jpg
33.72,3372,Surakarta,kab-h250px-3372.jpg
33.73,3373,Salatiga,kab-h250px-3373.jpg
33.74,3374,Semarang,kab-h250px-3374.jpg
33.75,3375,Pekalongan,kab-h250px-3375.jpg
33.76,3376,Tegal,kab-h250px-3376.jpg
34.01,3401,Kulon Progo,kab-h250px-3401.jpg
34.02,3402,Bantul,kab-h250px-3402.jpg
34.03,3403,Gunungkidul,kab-h250px-3403.jpg
34.04,3404,Sleman,kab-h250px-3404.jpg
34.71,3471,Yogyakarta,kab-h250px-3471.jpg
35.01,3501,Pacitan,kab-h250px-3501.jpg
35.02,3502,Ponorogo,kab-h250px-3502.jpg
35.03,3503,Trenggalek,kab-h250px-3503.jpg
35.04,3504,Tulungagung,kab-h250px-3504.jpg
35.05,3505,Blitar,kab-h250px-3505.jpg
35.06,3506,Kediri,kab-h250px-3506.jpg
35.07,3507,Malang,kab-h250px-3507.jpg
35.08,3508,Lumajang,kab-h250px-3508.jpg
35.09,3509,Jember,kab-h250px-3509.jpg
35.10,3510,Banyuwangi,kab-h250px-3510.jpg
35.11,3511,Bondowoso,kab-h250px-3511.jpg
35.12,3512,Situbondo,kab-h250px-3512.jpg
35.13,3513,Probolinggo,kab-h250px-3513.jpg
35.14,3514,Pasuruan,kab-h250px-3514.jpg
35.15,3515,Sidoarjo,kab-h250px-3515.jpg
35.16,3516,Mojokerto,kab-h250px-3516.jpg
35.17,3517,Jombang,kab-h250px-3517.jpg
35.18,3518,Nganjuk,kab-h250px-3518.jpg
35.19,3519,Madiun,kab-h250px-3519.jpg
35.20,3520,Magetan,kab-h250px-3520.jpg
35.21,3521,Ngawi,kab-h250px-3521.jpg
35.22,3522,Bojonegoro,kab-h250px-3522.jpg
35.23,3523,Tuban,kab-h250px-3523.jpg
35.24,3524,Lamongan,kab-h250px-3524.jpg
35.25,3525,Gresik,kab-h250px-3525.jpg
35.26,3526,Bangkalan,kab-h250px-3526.jpg
35.27,3527,Sampang,kab-h250px-3527.jpg
35.28,3528,Pamekasan,kab-h250px-3528.jpg
35.29,3529,Sumenep,kab-h250px-3529.jpg
35.71,3571,Kota Kediri,kab-h250px-3571.jpg
35.72,3572,Kota Blitar,kab-h250px-3572.jpg
35.73,3573,Kota Malang,kab-h250px-3573.jpg
35.74,3574,Kota Probolinggo,kab-h250px-3574.jpg
35.75,3575,Kota Pasuruan,kab-h250px-3575.jpg
35.76,3576,Kota Mojokerto,kab-h250px-3576.jpg
35.77,3577,Kota Madiun,kab-h250px-3577.jpg
35.78,3578,Kota Surabaya,kab-h250px-3578.jpg
35.79,3579,Kota Batu,kab-h250px-3579.jpg
36.01,3601,Pandeglang,kab-h250px-3601.jpg
36.02,3602,Lebak,kab-h250px-3602.jpg
36.03,3603,Tangerang,kab-h250px-3603.jpg
36.04,3604,Serang,kab-h250px-3604.jpg
36.71,3671,Tangerang,kab-h250px-3671.jpg
36.72,3672,Cilegon,kab-h250px-3672.jpg
36.73,3673,Serang,kab-h250px-3673.jpg
36.74,3674,Tangerang Selatan,kab-h250px-3674.jpg
51.01,5101,Jembrana,kab-h250px-5101.jpg
51.02,5102,Tabanan,kab-h250px-5102.jpg
51.03,5103,Badung,kab-h250px-5103.jpg
51.04,5104,Gianyar,kab-h250px-5104.jpg
51.05,5105,Klungkung,kab-h250px-5105.jpg
51.06,5106,Bangli,kab-h250px-5106.jpg
51.07,5107,Karangasem,kab-h250px-5107.jpg
51.08,5108,Buleleng,kab-h250px-5108.jpg
51.71,5171,Denpasar,kab-h250px-5171.jpg
52.01,5201,Lombok Barat,kab-h250px-5201.jpg
52.02,5202,Lombok Tengah,kab-h250px-5202.jpg
52.03,5203,Lombok Timur,kab-h250px-5203.jpg
52.04,5204,Sumbawa,kab-h250px-5204.jpg
52.05,5205,Dompu,kab-h250px-5205.jpg
